Script Name,Version
English,"🌱 Thank you for the question. The answer is getting generated, please wait for sometime..."
Bengali-Assamese,"🌱 প্রশ্নটির জন্য ধন্যবাদ। উত্তরটি তৈরি করা হচ্ছে, অনুগ্রহ করে কিছুক্ষণ অপেক্ষা করুন..."
Devanagari,"🌱 प्रश्न के लिए धन्यवाद। उत्तर तैयार किया जा रहा है, कृपया कुछ समय प्रतीक्षा करें..."
Gujarati,"🌱 પ્રશ્ન માટે આભાર. જવાબ તૈયાર થઈ રહ્યો છે, કૃપા કરીને થોડો સમય રાહ જુઓ..."
Kannada,"🌱 ಪ್ರಶ್ನೆಗೆ ಧನ್ಯವಾದಗಳು. ಉತ್ತರವನ್ನು ಸಿದ್ಧಪಡಿಸಲಾಗುತ್ತಿದೆ, ದಯವಿಟ್ಟು ಸ್ವಲ್ಪ ಸಮಯ ಕಾಯಿರಿ..."
Perso-Arabic,"🌱 سوال پوچھنے کا شکریہ۔ جواب تیار کیا جا رہا ہے، براہِ کرم کچھ دیر انتظار کریں..."
Malayalam,"🌱 ചോദ്യത്തിന് നന്ദി. ഉത്തരം തയ്യാറാക്കിക്കൊണ്ടിരിക്കുന്നു, ദയവായി കുറച്ച് സമയം കാത്തിരിക്കുക..."
Odia,"🌱 ପ୍ରଶ୍ନ ପାଇଁ ଧନ୍ୟବାଦ। ଉତ୍ତର ପ୍ରସ୍ତୁତ କରାଯାଉଛି, ଦୟାକରି କିଛି ସମୟ ଅପେକ୍ଷା କରନ୍ତୁ..."
Gurmukhi,"🌱 ਸਵਾਲ ਲਈ ਧੰਨਵਾਦ। ਜਵਾਬ ਤਿਆਰ ਕੀਤਾ ਜਾ ਰਿਹਾ ਹੈ, ਕਿਰਪਾ ਕਰਕੇ ਕੁਝ ਸਮਾਂ ਉਡੀਕ ਕਰੋ..."
Tamil,"🌱 கேள்விக்கு நன்றி. பதில் உருவாக்கப்பட்டுக் கொண்டிருக்கிறது, தயவுசெய்து சிறிது நேரம் காத்திருக்கவும்..."
Telugu,"🌱 ప్రశ్నకు ధన్యవాదాలు. సమాధానం సిద్ధమవుతోంది, దయచేసి కొంత సమయం వేచి ఉండండి..."
Meitei Mayek,"🌱 ꯋꯥꯍꯪꯒꯤꯗꯃꯛ ꯊꯥꯒꯠꯆꯔꯤ। ꯄꯥꯎꯈꯨꯝ ꯁꯦꯝꯒꯠꯂꯤ, ꯆꯥꯟꯕꯤꯗꯨꯅꯥ ꯃꯇꯝ ꯈꯔꯥ ꯉꯥꯏꯕꯤꯌꯨ..."
Ol Chiki,"🌱 ᱠᱩᱠᱞᱤ ᱞᱟᱹᱜᱤᱫ ᱟᱢᱟᱜᱮ ᱥᱟᱨᱦᱟᱣ ᱾ ᱛᱮᱞᱟ ᱫᱚ ᱛᱮᱭᱟᱨᱚᱜ ᱠᱟᱱᱟ, ᱫᱚᱭᱟᱠᱟᱛᱮ ᱠᱚᱢ ᱚᱠᱛᱚ ᱛᱟᱹᱝᱜᱤ ᱢᱮ..."
